2006,3
2007,1
2008,3
2009,11
2010,10
2011,16
2012,24
2013,34
2014,114
2015,163
2016,303
2017,376
2018,421
2019,440
2020,518
2021,698
2022,729
2023,733
2024,1101
2025,956
2026,2
2027,1
2028,3
2034,1
